CustomerID,Category,Season,PurchaseAmount,ReviewRating,DiscountUsage,Cluster_ID,Cluster_Name
CUST-1026,Clothing,Summer,34.53,2.0,No,4,At Risk / Needs Attention
CUST-1027,Footwear,Fall,111.08,4.9,Yes,2,Loyal Customers
CUST-1028,Footwear,Spring,110.48,1.6,Yes,2,Loyal Customers
CUST-1029,Clothing,Spring,91.86,3.0,No,2,Loyal Customers
CUST-1030,Footwear,Fall,103.8,3.5,Yes,2,Loyal Customers
CUST-1031,Clothing,Winter,73.69,3.8,No,2,Loyal Customers
CUST-1032,Clothing,Spring,36.76,3.2,No,4,At Risk / Needs Attention
CUST-1033,Accessories,Summer,46.81,1.0,No,3,Potential Loyalists
CUST-1034,Accessories,Spring,30.03,2.3,No,4,At Risk / Needs Attention
CUST-1035,Outerwear,Summer,194.32,3.1,No,2,Loyal Customers
CUST-1036,Clothing,Winter,80.67,1.4,No,2,Loyal Customers
CUST-1037,Clothing,Fall,53.42,2.4,No,3,Potential Loyalists
CUST-1038,Footwear,Spring,61.49,1.1,Yes,3,Potential Loyalists
CUST-1039,Footwear,Fall,235.71,1.3,No,2,Loyal Customers
CUST-1040,Clothing,Spring,27.49,2.6,Yes,4,At Risk / Needs Attention
CUST-1041,Footwear,Summer,81.18,1.5,No,2,Loyal Customers
CUST-1042,Clothing,Fall,67.87,3.3,No,3,Potential Loyalists
CUST-1043,Accessories,Spring,85.9,3.8,No,2,Loyal Customers
CUST-1044,Clothing,Summer,16.37,4.2,Yes,4,At Risk / Needs Attention
CUST-1045,Footwear,Fall,169.25,1.8,Yes,2,Loyal Customers
CUST-1046,Clothing,Fall,216.75,1.7,No,2,Loyal Customers
CUST-1047,Footwear,Spring,77.45,1.4,Yes,2,Loyal Customers
CUST-1048,Footwear,Spring,104.47,3.5,Yes,2,Loyal Customers
CUST-1049,Clothing,Spring,206.81,3.8,Yes,2,Loyal Customers
CUST-1050,Accessories,Summer,107.13,1.1,No,2,Loyal Customers
CUST-1051,Outerwear,Spring,27.41,4.7,No,4,At Risk / Needs Attention
CUST-1052,Accessories,Fall,79.4,1.2,Yes,2,Loyal Customers
CUST-1053,Accessories,Fall,84.99,3.2,Yes,2,Loyal Customers
CUST-1054,Footwear,Spring,56.39,3.8,Yes,3,Potential Loyalists
CUST-1055,Accessories,Spring,115.01,4.5,No,2,Loyal Customers
CUST-1056,Clothing,Winter,219.28,3.9,No,2,Loyal Customers
CUST-1057,Clothing,Fall,209.84,4.2,Yes,1,Champions
CUST-1058,Clothing,Summer,59.95,2.4,Yes,3,Potential Loyalists
CUST-1059,Clothing,Winter,24.01,4.3,Yes,4,At Risk / Needs Attention
CUST-1060,Clothing,Spring,329.19,1.3,No,2,Loyal Customers
CUST-1061,Clothing,Spring,151.93,4.6,No,1,Champions
CUST-1062,Outerwear,Fall,24.99,3.2,Yes,4,At Risk / Needs Attention
CUST-1063,Clothing,Spring,205.22,4.3,Yes,1,Champions
CUST-1064,Clothing,Summer,167.96,2.8,Yes,2,Loyal Customers
CUST-1065,Footwear,Fall,69.87,3.6,No,3,Potential Loyalists
CUST-1066,Clothing,Spring,82.1,3.1,Yes,2,Loyal Customers
CUST-1067,Outerwear,Fall,53.19,3.9,No,3,Potential Loyalists
CUST-1068,Clothing,Spring,19.22,1.3,No,4,At Risk / Needs Attention
CUST-1069,Accessories,Spring,45.62,1.2,Yes,3,Potential Loyalists
CUST-1070,Outerwear,Spring,136.79,2.0,Yes,2,Loyal Customers
CUST-1071,Clothing,Summer,15.35,1.6,Yes,4,At Risk / Needs Attention
CUST-1072,Clothing,Summer,45.43,4.5,No,3,Potential Loyalists
CUST-1073,Outerwear,Fall,53.08,1.9,No,3,Potential Loyalists
CUST-1074,Outerwear,Spring,72.82,4.9,No,2,Loyal Customers
CUST-1075,Outerwear,Spring,204.29,2.3,No,2,Loyal Customers
CUST-1076,Outerwear,Summer,46.89,1.7,Yes,3,Potential Loyalists
CUST-1077,Clothing,Spring,46.96,4.2,No,3,Potential Loyalists
CUST-1078,Clothing,Summer,115.31,3.6,No,2,Loyal Customers
CUST-1079,Clothing,Spring,60.14,3.0,Yes,3,Potential Loyalists
CUST-1080,Accessories,Fall,34.08,3.2,No,4,At Risk / Needs Attention
CUST-1081,Footwear,Spring,60.17,3.9,No,3,Potential Loyalists
CUST-1082,Clothing,Spring,26.39,1.9,No,4,At Risk / Needs Attention
CUST-1083,Clothing,Winter,29.55,5.0,No,4,At Risk / Needs Attention
CUST-1084,Clothing,Summer,66.74,4.9,No,3,Potential Loyalists
CUST-1085,Clothing,Spring,55.72,3.6,No,3,Potential Loyalists
CUST-1086,Outerwear,Spring,199.75,1.8,Yes,2,Loyal Customers
CUST-1087,Footwear,Winter,48.75,3.7,Yes,3,Potential Loyalists
CUST-1088,Accessories,Winter,80.17,1.3,No,2,Loyal Customers
CUST-1089,Footwear,Summer,90.03,1.1,Yes,2,Loyal Customers
CUST-1090,Clothing,Winter,15.99,2.0,Yes,4,At Risk / Needs Attention
CUST-1091,Outerwear,Fall,96.7,2.9,Yes,2,Loyal Customers
CUST-1092,Outerwear,Winter,29.7,4.5,Yes,4,At Risk / Needs Attention
CUST-1093,Footwear,Fall,258.45,3.9,No,2,Loyal Customers
CUST-1094,Outerwear,Summer,27.07,4.0,No,4,At Risk / Needs Attention
CUST-1095,Footwear,Summer,55.16,2.7,Yes,3,Potential Loyalists
CUST-1096,Footwear,Summer,21.69,2.4,Yes,4,At Risk / Needs Attention
CUST-1097,Footwear,Summer,447.61,2.5,Yes,2,Loyal Customers
CUST-1098,Clothing,Summer,67.32,5.0,No,3,Potential Loyalists
CUST-1099,Clothing,Fall,82.86,1.2,No,2,Loyal Customers
CUST-1100,Clothing,Fall,20.21,4.5,Yes,4,At Risk / Needs Attention
CUST-1101,Footwear,Summer,118.96,3.3,No,2,Loyal Customers
CUST-1102,Clothing,Winter,32.67,2.8,No,4,At Risk / Needs Attention
CUST-1103,Footwear,Spring,186.25,3.9,No,2,Loyal Customers
CUST-1104,Accessories,Summer,32.22,2.9,No,4,At Risk / Needs Attention
CUST-1105,Clothing,Winter,30.87,4.5,Yes,4,At Risk / Needs Attention
CUST-1106,Footwear,Spring,17.79,4.6,No,4,At Risk / Needs Attention
CUST-1107,Outerwear,Summer,62.91,2.7,No,3,Potential Loyalists
CUST-1108,Clothing,Summer,77.4,2.1,No,2,Loyal Customers
CUST-1109,Clothing,Fall,20.1,3.4,No,4,At Risk / Needs Attention
CUST-1110,Clothing,Spring,127.05,4.6,No,1,Champions
CUST-1111,Clothing,Spring,60.29,1.8,No,3,Potential Loyalists
CUST-1112,Accessories,Winter,70.74,3.5,Yes,2,Loyal Customers
CUST-1113,Outerwear,Fall,58.59,3.5,No,3,Potential Loyalists
CUST-1114,Footwear,Fall,53.41,3.9,No,3,Potential Loyalists
CUST-1115,Accessories,Fall,76.51,1.5,No,2,Loyal Customers
CUST-1116,Outerwear,Fall,27.65,3.9,Yes,4,At Risk / Needs Attention
CUST-1117,Clothing,Spring,30.06,4.6,Yes,4,At Risk / Needs Attention
CUST-1118,Accessories,Spring,163.42,1.7,Yes,2,Loyal Customers
CUST-1119,Footwear,Summer,234.07,2.0,No,2,Loyal Customers
CUST-1120,Outerwear,Summer,50.05,4.9,No,3,Potential Loyalists
CUST-1121,Accessories,Fall,38.68,1.7,Yes,4,At Risk / Needs Attention
CUST-1122,Clothing,Fall,92.46,4.4,No,2,Loyal Customers
CUST-1123,Clothing,Fall,54.41,3.0,No,3,Potential Loyalists
CUST-1124,Clothing,Summer,16.93,2.0,No,4,At Risk / Needs Attention
CUST-1125,Footwear,Winter,27.73,4.5,No,4,At Risk / Needs Attention
CUST-1126,Outerwear,Winter,109.4,2.8,No,2,Loyal Customers
CUST-1127,Accessories,Summer,95.67,3.1,No,2,Loyal Customers
CUST-1128,Clothing,Summer,17.06,2.4,Yes,4,At Risk / Needs Attention
CUST-1129,Footwear,Summer,33.82,3.4,No,4,At Risk / Needs Attention
CUST-1130,Footwear,Summer,34.71,1.7,No,4,At Risk / Needs Attention
CUST-1131,Clothing,Summer,98.58,2.6,No,2,Loyal Customers
CUST-1132,Clothing,Summer,16.49,4.9,No,4,At Risk / Needs Attention
CUST-1133,Clothing,Fall,23.25,2.0,No,4,At Risk / Needs Attention
CUST-1134,Accessories,Fall,135.68,3.6,Yes,2,Loyal Customers
CUST-1135,Clothing,Fall,29.75,2.3,No,4,At Risk / Needs Attention
CUST-1136,Footwear,Fall,94.33,4.1,Yes,2,Loyal Customers
CUST-1137,Outerwear,Summer,35.4,1.5,Yes,4,At Risk / Needs Attention
CUST-1138,Clothing,Winter,22.86,4.9,No,4,At Risk / Needs Attention
CUST-1139,Accessories,Spring,35.9,2.8,No,4,At Risk / Needs Attention
CUST-1140,Accessories,Summer,111.08,1.9,Yes,2,Loyal Customers
CUST-1141,Clothing,Spring,160.19,1.3,Yes,2,Loyal Customers
CUST-1142,Footwear,Winter,147.99,1.7,No,2,Loyal Customers
CUST-1143,Clothing,Fall,52.96,3.1,Yes,3,Potential Loyalists
CUST-1144,Clothing,Winter,97.72,2.3,No,2,Loyal Customers
CUST-1145,Clothing,Summer,32.2,4.3,No,4,At Risk / Needs Attention
CUST-1146,Footwear,Fall,41.02,2.7,No,3,Potential Loyalists
CUST-1147,Footwear,Summer,184.99,2.0,Yes,2,Loyal Customers
CUST-1148,Clothing,Fall,15.98,3.5,Yes,4,At Risk / Needs Attention
CUST-1149,Clothing,Spring,21.7,3.8,No,4,At Risk / Needs Attention
CUST-1150,Accessories,Spring,32.48,1.7,No,4,At Risk / Needs Attention
CUST-1151,Clothing,Spring,17.02,1.7,Yes,4,At Risk / Needs Attention
CUST-1152,Clothing,Winter,30.02,1.1,No,4,At Risk / Needs Attention
CUST-1153,Footwear,Summer,80.61,3.9,Yes,2,Loyal Customers
CUST-1154,Accessories,Winter,56.04,3.7,No,3,Potential Loyalists
CUST-1155,Clothing,Spring,182.39,2.9,Yes,2,Loyal Customers
CUST-1156,Footwear,Summer,142.55,4.4,No,1,Champions
CUST-1157,Outerwear,Spring,46.37,4.2,Yes,3,Potential Loyalists
CUST-1158,Clothing,Winter,37.52,3.3,Yes,4,At Risk / Needs Attention
CUST-1159,Outerwear,Winter,50.82,4.5,Yes,3,Potential Loyalists
CUST-1160,Clothing,Winter,81.92,1.8,Yes,2,Loyal Customers
CUST-1161,Footwear,Spring,38.4,1.4,No,4,At Risk / Needs Attention
CUST-1162,Footwear,Summer,88.39,2.1,No,2,Loyal Customers
CUST-1163,Footwear,Summer,54.5,1.2,Yes,3,Potential Loyalists
CUST-1164,Clothing,Spring,75.23,3.1,Yes,2,Loyal Customers
CUST-1165,Outerwear,Summer,57.97,4.7,No,3,Potential Loyalists
CUST-1166,Clothing,Spring,41.16,1.2,No,3,Potential Loyalists
CUST-1167,Clothing,Summer,237.4,1.5,No,2,Loyal Customers
CUST-1168,Clothing,Fall,123.17,2.8,Yes,2,Loyal Customers
CUST-1169,Footwear,Fall,26.32,4.7,Yes,4,At Risk / Needs Attention
CUST-1170,Footwear,Winter,167.14,2.3,No,2,Loyal Customers
CUST-1171,Clothing,Fall,65.12,3.0,Yes,3,Potential Loyalists
CUST-1172,Footwear,Fall,183.72,1.2,No,2,Loyal Customers
CUST-1173,Clothing,Fall,135.65,1.6,Yes,2,Loyal Customers
CUST-1174,Footwear,Spring,56.53,4.9,No,3,Potential Loyalists
CUST-1175,Clothing,Fall,16.7,4.9,Yes,4,At Risk / Needs Attention
CUST-1176,Footwear,Fall,38.47,1.0,No,4,At Risk / Needs Attention
CUST-1177,Clothing,Winter,73.51,4.8,No,2,Loyal Customers
CUST-1178,Accessories,Fall,90.28,3.6,No,2,Loyal Customers
CUST-1179,Clothing,Fall,37.37,4.5,Yes,4,At Risk / Needs Attention
CUST-1180,Clothing,Summer,26.26,2.8,No,4,At Risk / Needs Attention
CUST-1181,Clothing,Winter,150.1,3.1,No,2,Loyal Customers
CUST-1182,Accessories,Winter,327.05,3.0,No,2,Loyal Customers
CUST-1183,Accessories,Winter,70.94,3.7,No,2,Loyal Customers
CUST-1184,Clothing,Winter,29.13,1.6,No,4,At Risk / Needs Attention
CUST-1185,Footwear,Winter,38.84,1.1,No,4,At Risk / Needs Attention
CUST-1186,Outerwear,Winter,16.39,2.2,Yes,4,At Risk / Needs Attention
CUST-1187,Footwear,Spring,199.27,3.8,No,2,Loyal Customers
CUST-1188,Footwear,Fall,24.4,1.8,No,4,At Risk / Needs Attention
CUST-1189,Clothing,Winter,79.44,3.7,Yes,2,Loyal Customers
CUST-1190,Clothing,Fall,39.02,4.9,Yes,4,At Risk / Needs Attention
CUST-1191,Accessories,Fall,75.59,1.4,Yes,2,Loyal Customers
CUST-1192,Accessories,Spring,94.04,3.7,No,2,Loyal Customers
CUST-1193,Footwear,Winter,147.78,2.8,No,2,Loyal Customers
CUST-1194,Clothing,Summer,32.34,4.5,No,4,At Risk / Needs Attention
CUST-1195,Clothing,Spring,15.83,1.7,No,4,At Risk / Needs Attention
CUST-1196,Outerwear,Summer,26.04,3.8,Yes,4,At Risk / Needs Attention
CUST-1197,Accessories,Fall,187.71,4.4,Yes,1,Champions
CUST-1198,Accessories,Fall,170.3,4.8,Yes,1,Champions
CUST-1199,Outerwear,Spring,83.24,3.7,Yes,2,Loyal Customers
CUST-1200,Footwear,Spring,83.82,3.0,Yes,2,Loyal Customers
CUST-1201,Clothing,Summer,97.03,3.5,Yes,2,Loyal Customers
CUST-1202,Clothing,Winter,29.46,4.5,No,4,At Risk / Needs Attention
CUST-1203,Accessories,Summer,199.37,3.3,No,2,Loyal Customers
CUST-1204,Footwear,Spring,55.7,1.1,No,3,Potential Loyalists
CUST-1205,Clothing,Summer,51.23,4.7,No,3,Potential Loyalists
CUST-1206,Clothing,Spring,69.88,3.8,No,3,Potential Loyalists
CUST-1207,Footwear,Summer,18.61,3.7,Yes,4,At Risk / Needs Attention
CUST-1208,Clothing,Spring,28.64,1.9,No,4,At Risk / Needs Attention
CUST-1209,Clothing,Spring,115.47,3.6,No,2,Loyal Customers
CUST-1210,Footwear,Spring,21.48,2.6,Yes,4,At Risk / Needs Attention
CUST-1211,Footwear,Winter,84.32,3.6,Yes,2,Loyal Customers
CUST-1212,Footwear,Summer,36.11,1.4,No,4,At Risk / Needs Attention
CUST-1213,Clothing,Summer,51.99,3.6,Yes,3,Potential Loyalists
CUST-1214,Outerwear,Summer,40.55,5.0,No,3,Potential Loyalists
CUST-1215,Clothing,Spring,47.97,1.2,No,3,Potential Loyalists
CUST-1216,Clothing,Summer,110.22,4.9,Yes,2,Loyal Customers
CUST-1217,Outerwear,Summer,41.44,2.6,Yes,3,Potential Loyalists
CUST-1218,Footwear,Spring,77.67,4.5,Yes,2,Loyal Customers
CUST-1219,Outerwear,Fall,63.48,4.1,Yes,3,Potential Loyalists
CUST-1220,Footwear,Spring,96.72,3.3,Yes,2,Loyal Customers
CUST-1221,Footwear,Summer,222.14,4.0,No,1,Champions
CUST-1222,Clothing,Spring,113.92,4.5,Yes,2,Loyal Customers
CUST-1223,Clothing,Fall,33.15,2.6,No,4,At Risk / Needs Attention
CUST-1224,Clothing,Spring,17.38,2.3,Yes,4,At Risk / Needs Attention
CUST-1225,Clothing,Summer,37.81,3.7,No,4,At Risk / Needs Attention
CUST-1226,Accessories,Fall,82.8,4.2,Yes,2,Loyal Customers
CUST-1227,Clothing,Winter,18.96,4.0,Yes,4,At Risk / Needs Attention
CUST-1228,Accessories,Summer,66.44,4.2,No,3,Potential Loyalists
CUST-1229,Footwear,Fall,83.13,2.7,No,2,Loyal Customers
CUST-1230,Outerwear,Fall,45.51,4.3,Yes,3,Potential Loyalists
CUST-1231,Footwear,Winter,125.52,1.5,No,2,Loyal Customers
CUST-1232,Footwear,Spring,23.45,3.2,No,4,At Risk / Needs Attention
CUST-1233,Footwear,Spring,20.86,1.0,No,4,At Risk / Needs Attention
CUST-1234,Clothing,Summer,112.7,2.3,Yes,2,Loyal Customers
CUST-1235,Outerwear,Winter,66.31,2.5,Yes,3,Potential Loyalists
CUST-1236,Clothing,Spring,102.45,2.6,No,2,Loyal Customers
CUST-1237,Clothing,Winter,57.8,3.8,No,3,Potential Loyalists
CUST-1238,Footwear,Spring,36.22,2.6,Yes,4,At Risk / Needs Attention
CUST-1239,Clothing,Fall,143.24,2.8,No,2,Loyal Customers
CUST-1240,Accessories,Spring,135.49,2.0,No,2,Loyal Customers
CUST-1241,Accessories,Winter,103.98,2.5,Yes,2,Loyal Customers
CUST-1242,Accessories,Fall,38.82,1.9,No,4,At Risk / Needs Attention
CUST-1243,Clothing,Fall,81.91,1.3,Yes,2,Loyal Customers
CUST-1244,Clothing,Fall,48.59,3.4,No,3,Potential Loyalists
CUST-1245,Accessories,Winter,22.2,3.7,No,4,At Risk / Needs Attention
CUST-1246,Footwear,Summer,201.95,3.5,No,2,Loyal Customers
CUST-1247,Accessories,Summer,26.03,2.9,Yes,4,At Risk / Needs Attention
CUST-1248,Accessories,Summer,240.04,2.5,Yes,2,Loyal Customers
CUST-1249,Accessories,Winter,59.3,4.5,Yes,3,Potential Loyalists
CUST-1250,Clothing,Fall,30.35,3.1,Yes,4,At Risk / Needs Attention
CUST-1251,Clothing,Summer,73.55,2.9,Yes,2,Loyal Customers
CUST-1252,Accessories,Winter,169.74,1.1,No,2,Loyal Customers
CUST-1253,Clothing,Summer,113.82,2.4,Yes,2,Loyal Customers
CUST-1254,Clothing,Spring,138.21,2.5,Yes,2,Loyal Customers
CUST-1255,Footwear,Summer,95.64,2.6,No,2,Loyal Customers
CUST-1256,Accessories,Summer,103.39,3.3,Yes,2,Loyal Customers
CUST-1257,Footwear,Fall,156.88,3.1,No,2,Loyal Customers
CUST-1258,Footwear,Winter,36.54,3.4,Yes,4,At Risk / Needs Attention
CUST-1259,Clothing,Fall,65.42,4.1,No,3,Potential Loyalists
CUST-1260,Footwear,Fall,33.75,4.3,Yes,4,At Risk / Needs Attention
CUST-1261,Accessories,Fall,344.67,3.9,Yes,2,Loyal Customers
CUST-1262,Clothing,Fall,231.26,4.8,No,1,Champions
CUST-1263,Footwear,Fall,18.02,1.1,Yes,4,At Risk / Needs Attention
CUST-1264,Accessories,Summer,106.7,1.8,No,2,Loyal Customers
CUST-1265,Outerwear,Fall,209.52,1.0,Yes,2,Loyal Customers
CUST-1266,Footwear,Fall,29.94,3.6,Yes,4,At Risk / Needs Attention
CUST-1267,Outerwear,Winter,77.94,4.6,No,2,Loyal Customers
CUST-1268,Clothing,Spring,200.31,2.0,Yes,2,Loyal Customers
CUST-1269,Clothing,Summer,17.59,4.7,No,4,At Risk / Needs Attention
CUST-1270,Outerwear,Summer,104.66,1.2,No,2,Loyal Customers
CUST-1271,Outerwear,Summer,41.47,4.7,No,3,Potential Loyalists
CUST-1272,Accessories,Fall,208.67,2.4,No,2,Loyal Customers
CUST-1273,Accessories,Fall,280.69,1.4,Yes,2,Loyal Customers
CUST-1274,Footwear,Fall,231.54,2.9,Yes,2,Loyal Customers
CUST-1275,Footwear,Winter,63.21,2.0,Yes,3,Potential Loyalists
CUST-1276,Outerwear,Spring,163.56,2.1,No,2,Loyal Customers
CUST-1277,Footwear,Fall,154.61,2.2,No,2,Loyal Customers
CUST-1278,Outerwear,Spring,43.83,4.2,Yes,3,Potential Loyalists
CUST-1279,Outerwear,Winter,147.42,3.2,No,2,Loyal Customers
CUST-1280,Accessories,Summer,17.83,2.2,Yes,4,At Risk / Needs Attention
CUST-1281,Clothing,Fall,83.03,3.4,No,2,Loyal Customers
CUST-1282,Clothing,Spring,34.6,3.9,No,4,At Risk / Needs Attention
CUST-1283,Clothing,Spring,24.64,2.1,No,4,At Risk / Needs Attention
CUST-1284,Footwear,Fall,21.01,2.7,No,4,At Risk / Needs Attention
CUST-1285,Clothing,Summer,104.38,1.5,Yes,2,Loyal Customers
CUST-1286,Footwear,Summer,46.15,1.7,Yes,3,Potential Loyalists
CUST-1287,Footwear,Summer,111.76,3.7,Yes,2,Loyal Customers
CUST-1288,Clothing,Winter,20.07,1.7,Yes,4,At Risk / Needs Attention
CUST-1289,Footwear,Spring,43.41,3.1,Yes,3,Potential Loyalists
CUST-1290,Clothing,Spring,73.16,3.8,No,2,Loyal Customers
CUST-1291,Clothing,Spring,132.31,1.4,No,2,Loyal Customers
CUST-1292,Outerwear,Winter,43.79,3.3,No,3,Potential Loyalists
CUST-1293,Clothing,Spring,88.74,2.0,Yes,2,Loyal Customers
CUST-1294,Clothing,Winter,177.85,4.9,No,1,Champions
CUST-1295,Footwear,Summer,86.76,2.9,No,2,Loyal Customers
CUST-1296,Outerwear,Fall,34.89,4.2,Yes,4,At Risk / Needs Attention
CUST-1297,Clothing,Spring,16.85,3.2,No,4,At Risk / Needs Attention
CUST-1298,Footwear,Spring,168.07,1.2,No,2,Loyal Customers
CUST-1299,Clothing,Summer,16.61,3.5,Yes,4,At Risk / Needs Attention
CUST-1300,Clothing,Fall,170.78,4.8,No,1,Champions
CUST-1301,Footwear,Winter,71.46,3.4,No,2,Loyal Customers
CUST-1302,Footwear,Fall,224.85,4.3,Yes,1,Champions
CUST-1303,Footwear,Summer,135.25,4.5,No,1,Champions
CUST-1304,Outerwear,Summer,478.66,1.9,No,2,Loyal Customers
CUST-1305,Accessories,Fall,47.39,1.8,No,3,Potential Loyalists
CUST-1306,Footwear,Winter,124.31,3.4,No,2,Loyal Customers
CUST-1307,Clothing,Winter,53.55,2.6,Yes,3,Potential Loyalists
CUST-1308,Outerwear,Spring,64.03,4.4,No,3,Potential Loyalists
CUST-1309,Clothing,Winter,89.06,4.6,No,2,Loyal Customers
CUST-1310,Footwear,Fall,170.17,2.4,Yes,2,Loyal Customers
CUST-1311,Clothing,Summer,325.53,1.9,No,2,Loyal Customers
CUST-1312,Clothing,Spring,124.66,4.1,No,1,Champions
CUST-1313,Accessories,Spring,55.57,2.1,No,3,Potential Loyalists
CUST-1314,Outerwear,Summer,56.03,4.3,Yes,3,Potential Loyalists
CUST-1315,Footwear,Winter,115.34,2.7,No,2,Loyal Customers
CUST-1316,Footwear,Summer,35.46,3.7,Yes,4,At Risk / Needs Attention
CUST-1317,Clothing,Winter,23.78,1.4,Yes,4,At Risk / Needs Attention
CUST-1318,Clothing,Summer,47.84,3.5,Yes,3,Potential Loyalists
CUST-1319,Clothing,Fall,40.4,2.8,Yes,3,Potential Loyalists
CUST-1320,Footwear,Winter,41.36,3.3,No,3,Potential Loyalists
CUST-1321,Outerwear,Fall,34.95,1.7,No,4,At Risk / Needs Attention
CUST-1322,Footwear,Spring,18.23,3.9,Yes,4,At Risk / Needs Attention
CUST-1323,Clothing,Summer,16.35,4.5,No,4,At Risk / Needs Attention
CUST-1324,Accessories,Spring,345.0,1.9,No,2,Loyal Customers
CUST-1325,Outerwear,Spring,56.87,1.4,No,3,Potential Loyalists
CUST-1326,Footwear,Spring,51.38,1.1,Yes,3,Potential Loyalists
CUST-1327,Footwear,Spring,100.37,3.6,No,2,Loyal Customers
CUST-1328,Footwear,Summer,33.47,3.4,No,4,At Risk / Needs Attention
CUST-1329,Clothing,Spring,239.62,3.2,No,2,Loyal Customers
CUST-1330,Clothing,Summer,130.75,1.9,Yes,2,Loyal Customers
CUST-1331,Outerwear,Summer,22.02,2.6,Yes,4,At Risk / Needs Attention
CUST-1332,Clothing,Fall,55.54,3.4,No,3,Potential Loyalists
CUST-1333,Clothing,Winter,173.47,3.0,No,2,Loyal Customers
CUST-1334,Clothing,Winter,232.17,5.0,No,1,Champions
CUST-1335,Clothing,Summer,62.25,1.5,No,3,Potential Loyalists
CUST-1336,Accessories,Fall,86.28,3.8,Yes,2,Loyal Customers
CUST-1337,Outerwear,Summer,28.71,2.6,No,4,At Risk / Needs Attention
CUST-1338,Footwear,Summer,369.71,2.7,No,2,Loyal Customers
CUST-1339,Clothing,Summer,34.77,3.9,Yes,4,At Risk / Needs Attention
CUST-1340,Footwear,Fall,229.5,3.8,No,2,Loyal Customers
CUST-1341,Footwear,Winter,93.66,5.0,No,2,Loyal Customers
CUST-1342,Clothing,Fall,85.19,1.5,Yes,2,Loyal Customers
CUST-1343,Footwear,Spring,68.91,1.4,No,3,Potential Loyalists
CUST-1344,Clothing,Fall,34.67,3.9,Yes,4,At Risk / Needs Attention
CUST-1345,Footwear,Fall,29.57,3.3,No,4,At Risk / Needs Attention
CUST-1346,Footwear,Fall,33.68,2.1,No,4,At Risk / Needs Attention
CUST-1347,Clothing,Fall,30.48,1.3,No,4,At Risk / Needs Attention
CUST-1348,Clothing,Winter,128.42,1.3,No,2,Loyal Customers
CUST-1349,Footwear,Spring,47.32,4.6,Yes,3,Potential Loyalists
CUST-1350,Footwear,Winter,19.47,1.8,No,4,At Risk / Needs Attention
CUST-1351,Accessories,Winter,275.78,2.3,No,2,Loyal Customers
CUST-1352,Footwear,Fall,176.42,1.9,Yes,2,Loyal Customers
CUST-1353,Clothing,Summer,212.07,2.4,No,2,Loyal Customers
CUST-1354,Clothing,Summer,411.0,1.3,No,2,Loyal Customers
CUST-1355,Footwear,Winter,29.33,3.1,Yes,4,At Risk / Needs Attention
CUST-1356,Clothing,Winter,52.84,1.3,No,3,Potential Loyalists
CUST-1357,Footwear,Fall,121.49,4.2,No,1,Champions
CUST-1358,Accessories,Winter,104.31,1.9,Yes,2,Loyal Customers
CUST-1359,Footwear,Fall,27.53,3.2,No,4,At Risk / Needs Attention
CUST-1360,Clothing,Summer,141.89,4.5,Yes,1,Champions
CUST-1361,Footwear,Summer,34.06,3.6,Yes,4,At Risk / Needs Attention
CUST-1362,Footwear,Spring,34.0,3.1,Yes,4,At Risk / Needs Attention
